Taxonomy,Method,Citation_Key,Reproduced,Setup,Bottle,Cable,Capsule,Carpet,Grid,Hazelnut,Leather,Metal_Nut,Pill,Screw,Tile,Toothbrush,Transistor,Wood,Zipper,Mean
VLM-based,PromptAD,li2024PROMPTAD,TRUE,1-shot,97.68,93.57,96.53,99.56,98.17,98.20,99.38,91.59,93.41,93.68,96.18,98.88,88.39,94.65,90.14,95.33
VLM-based,PromptAD,li2024PROMPTAD,TRUE,2-shot,97.56,93.78,96.95,99.55,97.99,98.45,99.36,94.71,93.35,94.12,96.20,99.03,89.54,95.75,91.44,95.85
VLM-based,PromptAD,li2024PROMPTAD,TRUE,4-shot,97.87,93.80,97.26,99.53,98.42,98.51,99.30,94.31,94.26,95.29,96.18,98.91,86.94,95.28,95.08,96.06
VLM-based,IIPAD,lv2025OAFSAD,TRUE,1-shot,97.80,93.30,96.40,99.40,97.00,98.20,99.50,90.20,96.80,96.50,96.60,98.10,81.90,97.20,96.50,95.70
VLM-based,IIPAD,lv2025OAFSAD,TRUE,2-shot,98.30,95.50,96.00,99.50,96.80,98.60,99.50,92.00,96.80,96.80,96.90,98.10,84.70,97.40,96.50,96.20
VLM-based,IIPAD,lv2025OAFSAD,TRUE,4-shot,98.40,95.80,95.80,99.50,97.80,98.80,99.40,92.40,96.50,97.10,96.70,98.00,86.20,97.30,97.10,96.50
Residual-based,ResAD,yao2024RESAD,FALSE,2-shot,,,,,,,,,,,,,,,,95.60
Residual-based,ResAD,yao2024RESAD,FALSE,4-shot,,,,,,,,,,,,,,,,96.90
Residual-based,NAGL,wang2026NAGGAD,FALSE,1-shot,98.20 ± 0.10,94.20 ± 0.60,98.10 ± 0.20,99.30 ± 0.00,99.40 ± 0.00,99.50 ± 0.10,99.10 ± 0.10,95.20 ± 0.30,94.20 ± 0.30,97.80 ± 0.40,96.10 ± 0.40,99.20 ± 0.10,84.30 ± 3.70,96.00 ± 0.90,97.90 ± 0.10,96.60 ± 0.20
Residual-based,NAGL,wang2026NAGGAD,FALSE,2-shot,98.20 ± 0.20,94.70 ± 0.10,98.10 ± 0.10,99.30 ± 0.00,99.40 ± 0.00,99.60 ± 0.10,99.10 ± 0.00,95.50 ± 0.30,94.30 ± 0.30,98.20 ± 0.20,96.10 ± 0.30,99.20 ± 0.10,85.20 ± 1.20,96.40 ± 0.80,98.00 ± 0.20,96.80 ± 0.20
Residual-based,NAGL,wang2026NAGGAD,FALSE,4-shot,98.10 ± 0.20,95.20 ± 0.30,98.40 ± 0.00,99.30 ± 0.00,99.40 ± 0.00,99.60 ± 0.10,99.10 ± 0.00,96.00 ± 0.30,95.30 ± 0.20,98.30 ± 0.30,96.00 ± 0.30,99.20 ± 0.00,85.80 ± 1.20,96.40 ± 0.30,98.30 ± 0.40,97.00 ± 0.00
